strategy,category,fee_eth,net_usd,cross_block,status
F17-07-syrupUSDC-morpho-pendle-hedge,2 固定收益,0.00022343,49.49,no,PASS
F18-02-wsteth-pendle-pt-morpho-tier,2 固定收益,,,,FAIL
F18-04-balancer-pendle-morpho-pt-susde,2 固定收益,,,,FAIL
F02-02-ezeth-pendle-yt-points,3 积分空投,0.00153587,45.95,no,PASS
F02-03-pufeth-symbiotic-restack,3 积分空投,0.00161735,44.97,no,PASS
F02-05-rseth-karak-pendle-yt-morpho,3 积分空投,0.00120791,52.48,no,PASS
F07-03-yt-weeth-points-speculation,3 积分空投,0.00032297,107136.69,yes,PASS
F07-09-yt-pufeth-symbiotic-stack,3 积分空投,0.00006950,82808.04,yes,PASS
F15-01-steth-direct-eigen-vs-ezeth,3 积分空投,0.02463879,3993.25,no,PASS
F15-02-eigen-cap-race-first-deposit,3 积分空投,0.00201154,1349.19,yes,PASS
F15-03-eigen-withdrawal-queue-secondary,3 积分空投,0.00205336,73.42,yes,PASS
F15-04-native-eigen-symbiotic-dualstack,3 积分空投,0.00131239,72.36,no,PASS
F15-05-eigen-operator-multi-avs-delegation,3 积分空投,0.00044572,1552.47,no,PASS
F15-06-eigenpod-native-validator-restake,3 积分空投,0.00040562,5278.94,no,PASS
F15-07-karak-multi-lrt-basket-vault,3 积分空投,0.00114402,47.38,no,PASS
F15-08-symbiotic-eigen-pendle-yt-triple,3 积分空投,0.01596820,1331.78,no,PASS
F18-05-eigen-symbiotic-karak-triple-restake,3 积分空投,0.00031916,1306.37,no,PASS
F03-01-steth-curve-depeg-lido-queue,4 脱锚套利,0.01002955,37182.46,no,PASS
F03-02-ezeth-balancer-depeg-renzo,4 脱锚套利,0.00085871,6270.42,no,PASS
F03-09-weeth-pectra-depeg,4 脱锚套利,0.00155641,14668.29,no,PASS
F04-01-dssflash-psm-curve-3pool-depeg,4 脱锚套利,0.00070578,48.91,no,PASS
F05-04-crvusd-peg-flashmint-arb,4 脱锚套利,0.02268075,259.19,no,PASS
F08-02-usde-usdt-balancer-flash-curve-peg-arb,4 脱锚套利,0.00053335,998.26,no,PASS
F08-06-susde-cooldown-curve-arb,4 脱锚套利,0.00434782,752.16,yes,PASS
F08-09-ethena-mint-curve-balancer-arb,4 脱锚套利,,,,FAIL
F13-07-univ3-usdc-weth-flash-balancer-curve-peg-arb,4 脱锚套利,0.00741080,30.46,no,PASS
F14-02-susd-3pool-depeg-atomic,4 脱锚套利,0.00392382,59993.92,no,PASS
F14-06-susd-deep-depeg-sbtc-backstop,4 脱锚套利,,,,PASS
F17-03-oeth-curve-depeg-redeem-arb,4 脱锚套利,0.00015711,861.49,no,PASS
F18-01-dssflash-crvusd-pegkeeper-arb,4 脱锚套利,0.00081048,47.89,no,PASS
F03-03-reth-balancer-rateprovider-lag,5 跨场所/滞后套利,0.00202295,3258.88,no,PASS
F03-04-multi-lst-triangular-curve,5 跨场所/滞后套利,0.00135076,4747.86,no,PASS
F03-05-wsteth-curve-univ3-triangular,5 跨场所/滞后套利,0.00135153,3322.73,no,PASS
F03-06-multi-lrt-triangular-balancer,5 跨场所/滞后套利,0.00178182,4952.91,no,PASS
F03-07-cbeth-rate-update-curve-univ3,5 跨场所/滞后套利,0.00937487,134.18,no,PASS
F03-08-frxeth-sfrxeth-rate-mismatch,5 跨场所/滞后套利,0.00097050,7303.39,no,PASS
F04-04-dssflash-psm-aave-usdc-supply-arb,5 跨场所/滞后套利,0.00111097,-1.28,no,PASS
F04-05-daiusds-roundtrip-susds-slippage,5 跨场所/滞后套利,0.00179844,19544.13,no,PASS
F06-07-lusd-gho-crvusd-triangle,5 跨场所/滞后套利,0.02669696,17.73,no,PASS
F08-08-susde-susds-funding-rotate,5 跨场所/滞后套利,,,,FAIL
F09-04-morpho-cross-market-rate-arb,5 跨场所/滞后套利,0.00128006,1883.02,yes,PASS
F09-08-cross-metamorpho-idle-rebalance,5 跨场所/滞后套利,0.00372751,11990.36,yes,PASS
F10-03-spark-dai-aave-rate-arb,5 跨场所/滞后套利,0.01063434,1057.38,yes,PASS
F11-03-euler-evc-batch-rate-arb,5 跨场所/滞后套利,0.00058713,48.14,no,PASS
F11-04-cross-mm-comet-aave-usdc-supply-arb,5 跨场所/滞后套利,0.00147273,46.62,yes,PASS
F11-08-euler-cross-vault-usdc-rate-sniffer,5 跨场所/滞后套利,0.00171231,44.37,yes,PASS
F12-09-convex-crvusd-usdc-llamma-arb,5 跨场所/滞后套利,0.04972096,3081.97,yes,PASS
F13-01-univ3-wsteth-flash-balancer-cspeg-arb,5 跨场所/滞后套利,,,,PASS
F13-02-balancer-reth-rateprovider-univ3-arb,5 跨场所/滞后套利,,,,PASS
F13-06-balancer-weeth-rateprovider-univ3-flash-curve,5 跨场所/滞后套利,,,,PASS
F14-01-seth-susd-atomic-vs-uniswap-triangular,5 跨场所/滞后套利,0.02647609,86497.19,no,PASS
